Club Name,Club Market Value
Manchester City,€1.05bn
Chelsea,€1.05bn
Liverpool,€900.10m
Manchester United,€833.00m
Tottenham Hotspur,€819.60m
Arsenal,€593.30m
Everton,€429.50m
Leicester City,€329.00m
West Ham United,€309.70m
Southampton,€270.55m
Crystal Palace,€262.38m
Fulham,€239.50m
Newcastle United,€200.00m
Burnley,€185.75m
Bournemouth,€172.80m
Brighton & Hove Albion,€172.65m
Watford,€170.40m
Wolverhampton Wanderers,€160.43m
Huddersfield Town,€113.15m
Cardiff City,€76.00m
Barcelona,€1.16bn
Real Madrid,€1.09bn
Atletico Madrid,€872.25m
Valencia,€442.65m
Sevilla,€268.50m
Villarreal,€222.30m
Athletic Bilbao,€208.90m
Real Sociedad,€196.30m
Celta Vigo,€181.70m
Real Betis,€180.33m
Leganes,€92.28m
Espanyol,€82.30m
Girona,€80.15m
Levante,€72.50m
Alaves,€71.05m
Getafe,€69.50m
Rayo Vallecano,€58.75m
Eibar,€53.80m
Huesca,€38.05m
Valladolid,€37.35m
Juventus,€873.78m
Inter Milan,€585.88m
AC Milan,€525.98m
Napoli,€520.65m
AS Roma,€434.88m
Lazio,€347.05m
Atalanta,€252.63m
Fiorentina,€247.00m
Torino,€196.43m
Sampdoria,€170.63m
Sassuolo,€160.68m
Udinese,€159.10m
Cagliari,€122.75m
Genoa,€107.48m
Bologna,€100.93m
SPAL,€73.38m
Parma,€64.75m
Chievo,€61.43m
Frosinone,€60.13m
Empoli,€58.30m
Bayern Munich,€835.55m
Borussia Dortmund,€376.80m
Bayer Leverkusen,€359.35m
RB Leipzig,€314.45m
FC Schalke 04,€243.90m
Borussia Monchengladbach,€191.53m
1899 Hoffenheim,€188.63m
VfB Stuttgart,€159.45m
VfL Wolfsburg,€145.53m
Eintracht Frankfurt,€139.50m
Hertha Berlin,€124.60m
Werder Bremen,€110.85m
FC Augsburg,€100.95m
Hannover 96,€98.28m
SC Freiburg,€94.28m
FSV Mainz 05,€86.60m
Fortuna Dusseldorf,€47.43m
FC Nurnberg,€42.88m
Paris Saint Germain,€842.40m
AS Monaco,€385.58m
Lyon,€357.25m
Marseille,€276.40m
Rennes,€130.80m
Nice,€129.60m
Bordeaux,€112.50m
Nantes,€108.05m
Lille,€97.28m
Saint Etienne,€96.80m
Toulouse,€82.15m
Guingamp,€67.95m
Montpellier,€60.30m
Strasbourg,€57.85m
Angers,€57.55m
Caen,€57.50m
Dijon,€55.15m
Amiens,€54.80m
Reims,€50.50m
Nimes,€38.35m
FC Porto,€246.68m
Benfica,€246.65m
Sporting CP,€162.63m
SC Braga,€65.35m
Vitoria SC,€38.70m
Portimonense,€29.83m
Rio Ave,€27.25m
GD Chaves,€25.43m
Maritimo,€23.80m
Vitoria Setubal,€18.73m
Belenenses,€16.85m
Boavista,€16.50m
Moreirense,€16.35m
Tondela,€15.48m
Feirense,€15.10m
Santa Clara,€13.90m
C.D. Nacional,€12.13m
Desportivo Aves,€11.48m
Zenit St. Petersburg,€243.58m
Spartak Moscow,€153.10m
Lokomotiv Moscow,€147.05m
Krasnodar,€92.65m
CSKA Moscow,€91.88m
Dynamo Moscow,€79.68m
Rubin Kazan,€42.20m
FC Rostov,€40.90m
Akhmat Grozny,€39.50m
Krylya Sovetov,€38.05m
Ural FC,€30.00m
FC UFA,€29.10m
Arsenal Tula,€23.60m
FC Enisey,€21.98m
FC Orenburg,€14.23m
Anzhi,€13.18m
Ajax,€241.80m
PSV Eindhoven,€134.25m
Feyenoord,€110.25m
AZ Alkmaar,€58.25m
Utrecht,€45.15m
Vitesse,€34.63m
Heerenveen,€31.13m
Groningen,€28.53m
Willem II,€26.00m
PEC Zwolle,€24.10m
ADO Den Haag,€22.63m
Heracles,€17.95m
NAC Breda,€15.88m
Fortuna Sittard,€15.35m
VVV Venlo,€11.95m
Emmen,€10.43m
Excelsior,€10.05m
De Graafschap,€9.83m
RSC Anderlecht,€119.58m
Club Brugge,€88.80m
KAA Gent,€81.20m
Standard Liege,€70.40m
K.R.C. Genk,€64.60m
RSC Charleroi,€39.48m
Zulte Waregem,€31.33m
KV Oostende,€25.98m
Royal Antwerp F.C.,€25.80m
KSC Lokeren,€25.05m
KV Kortrijk,€23.45m
AS Eupen,€22.80m
Cercle Brugge,€21.85m
St. Truiden,€21.55m
Waasland-beveren,€17.80m
Royal Excel Mouscron,€16.28m
Fenerbahce,€150.40m
Galatasaray,€126.88m
Besiktas,€111.30m
Istanbul Basaksehir,€64.85m
Trabzonspor,€49.73m
Alanyaspor,€39.50m
Bursaspor,€37.70m
Rizespor,€36.78m
Goztepe,€34.18m
Ankaragucu,€31.10m
Konyaspor,€29.90m
Yeni Malatyaspor,€28.18m
Sivasspor,€27.68m
Kasimpasa,€27.23m
Kayserispor,€22.65m
Akhisar Belediye,€22.00m
Antalyaspor,€21.93m
Erzurum BB,€18.15m
